Country,GDP per capita,Life Expectancy,GHG Emissions,Labor Force Participation,Military Expenditure,Development Status,Status Label,GDP per capita (log),GHG Emissions per Capita,GHG Emissions per Capita (log)
Channel Islands,58640.7349454753,80.9,2518.7549931529666,57.861,2.1092126445396673,1,Developed,10.979201922505458,0.04295230943975938,0.04205545056265723
Chile,12679.0240036611,79.349,124.0909,56.358,2.06377550015856,1,Developed,9.447783121022635,0.00978710190659537,0.009739518442303464
China,10358.1699971792,78.019,14497.8987,65.976,1.75669947098837,1,Developed,9.245627396501614,1.3996583087503058,0.22873598013027
Colombia,5891.95523215403,74.757,196.5034,63.415,3.2351087559283496,1,Developed,8.681512888025422,0.03335113595697852,0.03280705102004772
Comoros,1359.7070894329,65.756,0.7721,49.033,1.8049708592377387,0,Developing,7.215759762319861,0.0005678428876340004,0.0005676817258683043
"Congo, Dem. Rep.",471.504423341186,60.428,50.7937,63.44,0.743310281501406,0,Developing,6.158047108458626,0.10772687908220344,0.10231005891593223
"Congo, Rep.",1725.51040049963,64.391,25.0299,66.877,2.60118726630221,0,Developing,7.453857540848757,0.014505794918855588,0.014401592360918277
Costa Rica,12242.2098908533,79.725,14.3721,60.621,2.1092126445396673,1,Developed,9.412726767670597,0.0011739792184692107,0.001173290643728779
Cote d'Ivoire,2055.08483996432,60.14,29.5006,65.02,0.989482626607969,0,Developing,7.628558890297782,0.014354930476014889,0.014252873978004739
Croatia,13544.9715102628,77.5243902439024,25.04,51.011,1.70256133740463,1,Developed,9.51384447658814,0.0018486565277031116,0.001846949865255805
Cuba,7252.31672155863,77.407,39.5182,51.417,2.1092126445396673,1,Developed,8.889214122072854,0.005449044976555706,0.005434252642708882
Curacao,14901.2436090623,76.501,2518.7549931529666,60.01440606717643,2.1092126445396673,1,Developed,9.60926705838727,0.16902985141596957,0.15617421802015832
Cyprus,27391.58984375,81.23,9.3305,65.734,1.92017174602879,1,Developed,10.218027812140921,0.00034063375120699544,0.0003405757487021315
Czechia,19233.1469565497,78.2268292682927,117.9742,59.46,1.32244994903778,1,Developed,9.864442465700227,0.00613389999392818,0.006115164205958459
Denmark,55934.5556066994,81.6024390243903,43.5573,62.125,1.37713112053436,1,Developed,10.931955514309367,0.0007787189784123904,0.0007784159341027523
Djibouti,2776.54090852115,64.2,2.0844,41.96855394819531,1.8049708592377387,0,Developing,7.929321249945789,0.0007507182745274946,0.000750436626513699
Dominica,6996.13658633828,71.269,0.1347,60.01440606717643,2.1092126445396673,1,Developed,8.853256285255425,1.9253483453001146e-05,1.9253298107067643e-05
Dominican Republic,7565.84276444044,72.636,43.009,60.365,0.746231922011371,1,Developed,8.931531187364115,0.0056846277855710755,0.005668531262060266
Ecuador,5355.68933100132,72.004,64.5465,59.926,2.37312249582349,0,Developing,8.586101401106394,0.012051949993882885,0.01197990353378011
"Egypt, Arab Rep.",3770.86947867421,69.79,306.7631,41.96855394819531,1.12247550332399,0,Developing,8.2353260404702,0.08135076054338906,0.07821096386399504
El Salvador,3808.53195436409,70.244,11.2159,56.752,1.37945779018632,0,Developing,8.245261613950884,0.002944940500538013,0.002940612658006042
Equatorial Guinea,5575.26241511492,62.141,9.3375,57.701,1.64082995887433,0,Developing,8.62627401286724,0.0016748090591548472,0.0016734081304364907
Eritrea,2588.0664359177026,66.98,6.2963,77.07,1.8049708592377387,0,Developing,7.859052640263441,0.002432820082444056,0.0024298655665674356
Estonia,19946.944991505,78.5951219512195,14.5111,63.039,2.29675683425333,1,Developed,9.900881409067715,0.0007274848357069208,0.0007272203468804625
Eswatini,3542.91502785498,59.862,3.0266,48.222,1.8608190625872,0,Developing,8.172987335098647,0.0008542683005955191,0.0008539036211054582
Ethiopia,799.47559497498,65.969,169.9928,69.353,0.521624297220978,0,Developing,6.685206044745266,0.2126303805500404,0.19279186839907628
Faroe Islands,54295.461892057,82.6439024390244,0.0507,60.01440606717643,2.1092126445396673,1,Developed,10.902214345273464,9.337796978464791e-07,9.337792618744884e-07
Fiji,4729.3813514501,66.924,3.0919,56.733,1.58932558621181,0,Developing,8.461761102221262,0.0006537641543860651,0.0006535505436968891
Finland,44690.9801797392,81.9317073170732,52.6471,58.849,1.42582276779338,1,Developed,10.707549350181477,0.0011780251806575443,0.0011773318534456024
France,35709.204585868,82.1756097560976,398.3513,54.271,1.99647774299432,1,Developed,10.483191769663877,0.011155423499901996,0.011093660665741972
French Polynesia,19811.8102319951,82.459,1.2107,53.984,2.1092126445396673,1,Developed,9.894083988894273,6.111001396756664e-05,6.110814682673003e-05
Gabon,6534.27966529444,67.073,19.7598,47.947,1.72005326971719,1,Developed,8.784970420137967,0.0030240211641002065,0.003019458009169937
"Gambia, The",670.758642891251,64.418,1.9232,47.844,0.809324910343592,0,Developing,6.50989911364469,0.002867201221157884,0.002863098639816556
Georgia,4659.60925318234,73.509,17.3462,63.399,1.8054778310535,0,Developing,8.446901459600081,0.0037226726657719617,0.0037157606686412004
Germany,42362.6472136853,81.0414634146342,749.7997,60.478,1.37427175481016,1,Developed,10.654045896426414,0.017699547816685462,0.017544734896779577
Ghana,1968.96680139824,64.309,45.3548,64.503,0.350949233772808,0,Developing,7.585771969507925,0.023034822104563566,0.022773525593065846
Gibraltar,2588.0664359177026,83.07,0.6622,59.04029076105143,1.8049708592377387,0,Developing,7.859052640263441,0.0002558666929140057,0.0002558339646143365
Greece,17486.9513800415,81.2878048780488,71.7053,50.055,3.069343544579,1,Developed,9.769267430222696,0.004100503194732953,0.004092119043186707
Greenland,48139.5825957628,71.8507317073171,0.5919,60.01440606717643,2.1092126445396673,1,Developed,10.781880813377725,1.2295495060069309e-05,1.2295419471089525e-05
Grenada,8413.28335500372,75.019,0.1772,60.01440606717643,2.1092126445396673,1,Developed,9.037685940194276,2.1061931771810825e-05,2.106170997244019e-05
Guam,32884.8852646787,75.529,0.0151,60.855,2.1092126445396673,1,Developed,10.400798825387671,4.591775181353224e-07,4.591774127133581e-07
Guatemala,4005.83899021249,69.971,39.3008,56.901,0.441017589859342,0,Developing,8.295757927700668,0.009810878593978459,0.009763064403047883
Guinea,945.570903389665,59.35,26.3328,52.377,1.47688705111674,0,Developing,6.852845878979088,0.0278485726512974,0.02746785331445259
Guinea-Bissau,702.120599916994,61.343,2.8916,62.174,1.62537763900959,0,Developing,6.555528427477373,0.004118380802873253,0.004109923485006499
Guyana,9010.61000469878,67.751,7.3657,50.677,1.40257741131547,1,Developed,9.106269025504641,0.0008174474309906872,0.0008171135028062371
