Country,GDP per capita,Life Expectancy,GHG Emissions,Labor Force Participation,Military Expenditure
Guatemala,4005.83899021249,69.971,39.3008,56.901,0.441017589859342
Guinea,945.570903389665,59.35,26.3328,52.377,1.47688705111674
Guinea-Bissau,702.120599916994,61.343,2.8916,62.174,1.62537763900959
Guyana,9010.61000469878,67.751,7.3657,50.677,1.40257741131547
Haiti,1331.69778506932,63.773,13.5011,65.221,0.103094179098955
Honduras,2189.43168668222,70.864,20.3316,60.286,1.43753064533091
"Hong Kong SAR, China",41451.3260144604,85.4963414634146,40.5205,58.975,
Hungary,14437.8088480852,75.419512195122,65.8413,58.498,1.76006936522039
Iceland,52641.7234828803,83.0634146341463,4.1989,73.512,
India,1806.50110583878,70.156,3433.619,51.547,2.80719387386131
Indonesia,3739.44906576846,68.817,1050.3392,67.401,0.886277728854897
"Iran, Islamic Rep.",5127.95975696418,74.141,889.2859,41.359,2.16792005411303
Iraq,4213.99843766061,69.651,331.5823,39.704,3.1323217364269
Ireland,81791.0934649925,82.4560975609756,59.2585,61.09,0.267555214275712
Isle of Man,86595.0674507157,80.591,,,
Israel,38049.9903345588,82.6487804878049,78.1304,63.406,5.29504518980891
Italy,29469.7989279182,82.1951219512195,369.4589,48.254,1.73898398051865
Jamaica,4752.33342267359,71.452,7.1645,64.834,1.70647069948671
Japan,34650.7967802766,84.56,1168.7534,61.947,1.01744793009109
Jordan,3806.87949354914,75.583,30.3144,39.947,4.7175756760932
Kazakhstan,10565.0359816235,71.195,300.4421,71.216,0.907188676192723
Kenya,1609.33414078281,61.596,108.4215,67.039,1.10843419595019
Kiribati,1793.38536230105,65.205,0.1161,,
"Korea, Dem. People's Rep.",,72.783,96.7463,80.847,
"Korea, Rep.",31378.1579340648,83.4268292682927,689.1066,62.274,2.80332162242558
Kosovo,3990.94390114906,74.212,,,1.02303739145844
Kuwait,25541.50749746,78.7609756097561,149.0334,68.715,6.56773000462321
Kyrgyz Republic,1093.32864588331,71.8,20.0055,64.743,1.5771749985002
Lao PDR,2529.74622698761,68.339,34.4792,62.838,
